State Name,UVPbitNoPage,SMBAlert,UVP0,Pok,Vmain,UVP1,readPage
148,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
149,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,FF
150,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
151,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
152,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
153,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
154,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
155,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
156,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
157,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
158,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
159,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
160,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
161,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
162,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
163,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
164,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
165,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
166,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,FF
167,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
168,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
169,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,FF
170,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
171,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
172,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
173,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
174,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
175,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
176,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
177,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
178,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
179,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
180,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
181,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
182,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
183,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
184,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
185,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
186,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
187,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
188,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
189,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
190,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
191,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
192,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
193,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
194,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
195,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
196,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
197,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
198,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
199,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,01
200,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,00
201,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,00
202,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
203,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
204,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
205,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
206,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
207,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
208,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
209,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
210,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
211,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
212,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
213,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
214,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
215,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
216,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
217,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
218,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
219,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
220,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
221,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
222,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
223,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
224,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
225,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
226,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
227,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
228,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
229,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
230,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
231,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
232,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
233,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
234,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
235,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
236,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
237,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
238,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
239,1,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),1,FF
240,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
241,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
242,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
243,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
244,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
245,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
246,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
247,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
248,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
249,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
250,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
251,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
252,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
253,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
254,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
255,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
256,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
257,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
258,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
259,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
260,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
261,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
262,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
263,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
264,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
265,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
266,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
267,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
