State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
168,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
169,0,0,FF,(3- 3.6),(3- 3.6),(11.8- 12.6),0
170,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
171,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
172,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
173,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
174,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
175,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
176,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
177,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
178,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
179,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
180,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
181,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
182,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
183,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
184,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
185,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
186,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
187,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
188,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
189,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
190,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
191,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
192,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
193,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
194,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
195,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
196,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
197,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
198,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
199,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
200,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
201,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
202,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
203,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
204,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
205,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
206,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
207,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
208,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
209,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
210,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
211,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
212,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
213,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
214,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
215,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
216,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
217,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
218,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
219,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
220,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
221,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
222,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
223,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
224,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
225,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
226,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
227,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
228,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
229,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
230,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
231,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
232,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
233,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
234,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
235,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
236,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
237,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
238,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
239,1,1,FF,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
240,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
241,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
242,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
243,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
244,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
245,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
246,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
247,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
248,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
249,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
250,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
251,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
252,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
253,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
254,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
255,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
